company_id,revenue_growth,debt_to_asset_ratio,cash_flow_volatility,industry,past_default,is_default,default_prob_true
SME_00001,0.012086034752756611,0.30982163681960834,0.12951154337224333,Tech,0,0,0.013950207177739246
SME_00002,0.14289011172927013,0.7059416090015372,0.3447576394712038,Retail,0,0,0.06541899984989821
SME_00003,0.12176008855065508,0.6315805826125641,0.49927575557129017,Services,0,0,0.056216710174351654
SME_00004,0.04973440116892697,0.5187945380528854,0.4950443347408765,Tech,0,0,0.03991970485846336
SME_00005,0.02891800495745283,0.23120243410530142,0.692421899354592,Manufacturing,0,0,0.036223986313508795
SME_00006,0.13530869540239596,0.23230437090802167,0.3226953876987289,Services,0,0,0.01767605030216238
SME_00007,0.07209818550389585,0.22408680239524692,0.4826565373573479,Tech,0,0,0.019099935197918978
SME_00008,0.11808476712816203,0.6429738393122159,0.5236276059682622,Tech,0,0,0.049540715803955006
SME_00009,0.11174465372251245,0.8066442892742266,0.2659569391265055,Manufacturing,0,0,0.05859345019022301
SME_00010,-0.012285503466418128,0.7822282619817746,0.44566336978771764,Retail,0,0,0.08645398730827923
SME_00011,0.0025487550369228526,0.3282536500273455,0.7121576144715436,Retail,0,0,0.059276300990932056
SME_00012,0.14474960538458867,0.2552112649516973,0.35628032099514595,Services,0,0,0.019622224065953972
SME_00013,-0.017379359478941328,0.8133022878523374,0.02172705386965791,Tech,0,0,0.04097080909917913
SME_00014,0.011829037658918068,0.33911418305090274,0.27810117220385316,Services,1,0,0.07720587055640456
SME_00015,0.043848219162597776,0.4030976234884567,0.1278191063295312,Retail,0,0,0.030372406436296295
SME_00016,0.07039697668697198,0.585126320781585,0.5048460197809931,Manufacturing,0,0,0.05457789953223324
SME_00017,0.09277682031145487,0.19434881878376228,0.21639010282721188,Tech,0,0,0.010688937618156145
SME_00018,0.033687781028260956,0.8114559379598995,0.7396283171131282,Manufacturing,0,0,0.09234217328384343
SME_00019,0.20041267333637783,0.2998597316092773,0.5167772207405128,Services,0,0,0.02665680407348661
SME_00020,0.12465400709800659,0.32242621711906655,0.4514481251467735,Tech,0,0,0.02174883438413939
SME_00021,0.06434563551574322,0.6635330752824239,0.5839347079943168,Tech,0,0,0.05787147905284704
SME_00022,-0.026217651638109046,0.3440741347936504,0.31519304985050883,Retail,0,0,0.038003755211502815
SME_00023,0.10564716603338704,0.5162823137227975,0.4110325814867986,Services,0,1,0.04105573492071579
SME_00024,0.1020616154955993,0.3487231621200973,0.7291617733742537,Services,0,0,0.04507502033169088
SME_00025,0.11463430028311662,0.1,0.4877921853849405,Tech,0,0,0.013139857699196936
SME_00026,0.03514921712263771,0.5293423344322671,0.6874194110875514,Manufacturing,0,1,0.06270106372329623
